source: en: Keeping the Secret of Genetic Testing second: Giữ bí mật của xét nghiệm di truyền	en: Keeping the Secret of Genetic Testing
source: en: The communication does not focus on how we feel , or to say , each otherm , but whatever is interesting , or the content . second: Việc giao tiếp không tập trung vào cảm xúc của chúng ta, hay nói về nhau, mà là bất cứ điều gì thú vị, hoặc nội dung.	en: The communication does not focus on how we feel , or to say , each otherm , but whatever is interesting , or the content .
source: en: In this case , interpersonal skill is not as important because our goal is not to impress somebody , but to get the information that we are both interested in . second: Trong trường hợp này, kỹ năng giao tiếp không quan trọng vì mục đích của chúng ta không phải là gây ấn tượng với ai đó mà là để có được thông tin mà cả hai đều quan tâm.	en: In this case , interpersonal skill is not as important because our goal is not to impress somebody , but to get the information that we are both interested in .
source: en: In conclusion , I think social media has reshaped interpersonal relationships from a more human-based friendship that requires sharing and caring between friends , to a more information-based friendship that requires a mutual interest . second: Tóm lại, tôi nghĩ rằng mạng xã hội đã định hình lại mối quan hệ giữa các cá nhân từ tình bạn dựa trên con người, đòi hỏi sự chia sẻ và quan tâm giữa những người bạn, sang tình bạn dựa trên thông tin, đòi hỏi sự quan tâm lẫn nhau.	en: In conclusion , I think social media has reshaped interpersonal relationships from a more human-based friendship that requires sharing and caring between friends , to a more information-based friendship that requires a mutual interest .
source: en: There are advantages and disadvantages in itself , however , whether it is good or bad we are still not sure . second: Bản thân nó cũng có những ưu và nhược điểm, tuy nhiên, chúng ta vẫn chưa biết đó là tốt hay xấu.	en: There are advantages and disadvantages in itself , however , whether it is good or bad we are still not sure .
source: en: It is just different . second: Chỉ là khác nhau thôi.	en: It is just different .
source: en: Advantages and disadvantages of using social media in daily life second: Ưu điểm và nhược điểm của việc sử dụng mạng xã hội trong cuộc sống hàng ngày	en: Advantages and disadvantages of using social media in daily life
source: en: People that living in the modern world really can not live without the social media sites like Twitter and Facebook . second: Những người sống trong thế giới hiện đại không thể sống thiếu các trang mạng xã hội như Twitter và Facebook.	en: People that living in the modern world really can not live without the social media sites like Twitter and Facebook .
source: en: Almost all students and young adults possess the Facebook or Twitter account . second: Hầu hết sinh viên và thanh niên đều có tài khoản Facebook hoặc Twitter.	en: Almost all students and young adults possess the Facebook or Twitter account .
source: en: It is true that social media makes people be able to connect one another more conveniently . second: Đúng là mạng xã hội giúp mọi người kết nối với nhau thuận tiện hơn.	en: It is true that social media makes people be able to connect one another more conveniently .
source: en: However , it seems that , especially for some those , sharing some parts of their lives such as videos and photos on the social media sites become really necessary . second: Tuy nhiên, có vẻ như, đặc biệt là đối với một số người, chia sẻ một số phần trong cuộc sống của họ như video và hình ảnh trên các trang mạng xã hội trở nên thực sự cần thiết.	en: However , it seems that , especially for some those , sharing some parts of their lives such as videos and photos on the social media sites become really necessary .
source: en: An extremely interesting and ironic phenomenon was discovered that a group of friends met and sat around one table , but none of them were really chatting with one another . second: Một hiện tượng cực kỳ thú vị và mỉa mai đã được phát hiện khi một nhóm bạn gặp nhau và ngồi quanh một bàn, nhưng không ai trong số họ thực sự trò chuyện với nhau.	en: An extremely interesting and ironic phenomenon was discovered that a group of friends met and sat around one table , but none of them were really chatting with one another .
source: en: Instead , all of them were more interested in posting pictures of this " cheerful " meeting on their social media sites . second: Thay vào đó, tất cả đều quan tâm đến việc đăng hình ảnh của cuộc họp " vui vẻ " này trên trang mạng xã hội của họ.	en: Instead , all of them were more interested in posting pictures of this " cheerful " meeting on their social media sites .
source: en: Therefore , there is need to discuss the advantages and disadvantages of social media . second: Vì vậy, bạn cần thảo luận về những ưu điểm và nhược điểm của mạng xã hội.	en: Therefore , there is need to discuss the advantages and disadvantages of social media .
source: en: Social media enables people from different parts of the world to communicate with one another . second: Phương tiện truyền thông xã hội cho phép mọi người từ các khu vực khác nhau trên thế giới giao tiếp với nhau.	en: Social media enables people from different parts of the world to communicate with one another .
source: en: People used to write letters and send post cards to keep in touch with ones live far away from them in the past . second: Trước đây, người ta thường viết thư và gửi bưu thiếp để giữ liên lạc với những người sống xa nhà.	en: People used to write letters and send post cards to keep in touch with ones live far away from them in the past .
source: en: It can take a few days or weeks for those to receive the messages . second: Có thể mất vài ngày hoặc vài tuần để những người này nhận được tin nhắn.	en: It can take a few days or weeks for those to receive the messages .
source: en: Nowadays , what people need to do is just typing in front of the computer in their own rooms . second: Ngày nay, những gì mọi người cần làm chỉ là gõ trước máy tính trong phòng của họ.	en: Nowadays , what people need to do is just typing in front of the computer in their own rooms .
source: en: And people on the other side will only need a second to receive the message . second: Và những người ở phía bên kia sẽ chỉ cần một giây để nhận được tin nhắn.	en: And people on the other side will only need a second to receive the message .
source: en: Distance and time are no longer the problems , which is convenient especially when instant chat is needed . second: Khoảng cách và thời gian không còn là vấn đề nữa, điều này rất thuận tiện, đặc biệt là khi cần trò chuyện trực tiếp.	en: Distance and time are no longer the problems , which is convenient especially when instant chat is needed .
source: en: However , when people become more and more addicted to this convenience and fail to communicate with people who are close to them , their face-to-face interpersonal skills are lost . second: Tuy nhiên, khi con người ngày càng nghiện sự tiện lợi này và không thể giao tiếp với những người thân thiết, kỹ năng giao tiếp trực tiếp sẽ mất đi.	en: However , when people become more and more addicted to this convenience and fail to communicate with people who are close to them , their face-to-face interpersonal skills are lost .
source: en: Social media provides people a way of talking and chatting which can never be considered as a way of communication . second: Phương tiện truyền thông xã hội cung cấp cho mọi người một cách nói chuyện và tán gẫu mà không bao giờ có thể được coi là một cách giao tiếp.	en: Social media provides people a way of talking and chatting which can never be considered as a way of communication .
source: en: When ones chat on those media sites , there is no eye connection , no emotion delivery and even the expressions are typed in by using some combinations of punctuations . second: Khi một người trò chuyện trên các trang truyền thông đó, không có sự kết nối giữa mắt, không có sự truyền tải cảm xúc và thậm chí cả những biểu cảm được gõ vào bằng cách sử dụng một số kết hợp các dấu chấm câu.	en: When ones chat on those media sites , there is no eye connection , no emotion delivery and even the expressions are typed in by using some combinations of punctuations .
source: en: For more convenience , sentences are shortened to simply three or four words such as lol ( which means laugh intensively ) and " asap " ( which means as soon as possible ) . second: Để thuận tiện hơn, bạn có thể rút ngắn câu thành ba hoặc bốn từ đơn giản như lol (nghĩa là cười thật nhiều) và " asap " (nghĩa là càng sớm càng tốt ).	en: For more convenience , sentences are shortened to simply three or four words such as lol ( which means laugh intensively ) and " asap " ( which means as soon as possible ) .
source: en: People indeed go to great length to make their words as shorter as they can . second: Người ta thực sự thường dùng những từ ngữ ngắn nhất có thể.	en: People indeed go to great length to make their words as shorter as they can .
source: en: While , once they are communicating with people in their face , expressing themselves appropriately become really a big problem . second: Tuy nhiên, một khi họ giao tiếp trực tiếp với mọi người, việc thể hiện bản thân một cách phù hợp sẽ trở thành một vấn đề lớn.	en: While , once they are communicating with people in their face , expressing themselves appropriately become really a big problem .
source: en: Social media also provides people huge brunch information about people and things that they interests . second: Phương tiện truyền thông xã hội cũng cung cấp cho mọi người thông tin nửa buổi khổng lồ về những người và những thứ mà họ quan tâm.	en: Social media also provides people huge brunch information about people and things that they interests .
source: en: For example , on Twitter , it is exciting to follow people that you adore like famous movie and series stars , business men and entrepreneurs . second: Ví dụ, trên Twitter, theo dõi những người mà bạn yêu thích như ngôi sao điện ảnh và phim truyền hình nổi tiếng, doanh nhân và doanh nhân là một điều rất thú vị.	en: For example , on Twitter , it is exciting to follow people that you adore like famous movie and series stars , business men and entrepreneurs .
source: en: It makes people feel extreme close to their admirers ' lives and works . second: Nó khiến mọi người cảm thấy cực kỳ gần gũi với cuộc sống và công việc của những người ngưỡng mộ họ.	en: It makes people feel extreme close to their admirers ' lives and works .
source: en: Updated news people care about can be easily obtained when you refresh your social media sites on your smart phones and laptops almost every time at any time . second: Bạn có thể dễ dàng nhận được tin tức mới nhất mà mọi người quan tâm khi làm mới trang mạng xã hội trên điện thoại và máy tính xách tay của mình hầu như mọi lúc.	en: Updated news people care about can be easily obtained when you refresh your social media sites on your smart phones and laptops almost every time at any time .
source: en: However , after one has registered in those social media sites which are not reliable , all the information you have filled in will be a weapon against you in the future . second: Tuy nhiên, sau khi một người đăng ký trên các trang mạng xã hội không đáng tin cậy, tất cả thông tin mà bạn điền sẽ trở thành vũ khí chống lại bạn trong tương lai.	en: However , after one has registered in those social media sites which are not reliable , all the information you have filled in will be a weapon against you in the future .
source: en: Furthermore , not everyone on the social media sites is honest . second: Hơn nữa, không phải ai trên mạng xã hội cũng thành thật.	en: Furthermore , not everyone on the social media sites is honest .
source: en: The profile picture may not be the person who that user says he or she really is . second: Ảnh đại diện có thể không phải là người mà người dùng đó nói họ thực sự là.	en: The profile picture may not be the person who that user says he or she really is .
source: en: The reason might just be that he or she just wants to " decorate " his or her face . second: Có thể lý do chỉ đơn giản là vì anh ấy/cô ấy chỉ muốn " trang điểm " cho gương mặt của mình.	en: The reason might just be that he or she just wants to " decorate " his or her face .
source: en: But there is possibility that the person on the other side is deceiving you in order to obtain your information against you . second: Nhưng cũng có khả năng người ở bên kia đang lừa dối bạn để có được thông tin chống lại bạn.	en: But there is possibility that the person on the other side is deceiving you in order to obtain your information against you .
source: en: No pledge of authenticity risks people 's information and privacy that are shared on social media sites . second: Không có cam kết về tính xác thực nào có thể gây rủi ro cho thông tin và quyền riêng tư của mọi người được chia sẻ trên các trang mạng xã hội.	en: No pledge of authenticity risks people 's information and privacy that are shared on social media sites .
source: en: To sum up , social media has advantages and disadvantages in people 's daily life . second: Tóm lại, mạng xã hội có những thuận lợi và bất lợi trong cuộc sống hàng ngày của mọi người.	en: To sum up , social media has advantages and disadvantages in people 's daily life .
source: en: It shortens the distance between people from all over the world and makes instant communication possible . second: Nó rút ngắn khoảng cách giữa mọi người trên toàn thế giới và giúp giao tiếp tức thời.	en: It shortens the distance between people from all over the world and makes instant communication possible .
source: en: And it becomes more convenient to obtain and update information by using social media . second: Và việc thu thập và cập nhật thông tin bằng phương tiện truyền thông xã hội sẽ thuận tiện hơn.	en: And it becomes more convenient to obtain and update information by using social media .
source: en: On the contrary , social media makes people lose their ability to communicate effectively in their real lives and makes people risk exposing their privacy to those whose identity can not be verified on the social media sites . second: Ngược lại, mạng xã hội khiến mọi người mất khả năng giao tiếp hiệu quả trong cuộc sống thực và khiến mọi người mạo hiểm tiết lộ quyền riêng tư của họ với những người không thể xác minh danh tính trên các trang mạng xã hội.	en: On the contrary , social media makes people lose their ability to communicate effectively in their real lives and makes people risk exposing their privacy to those whose identity can not be verified on the social media sites .
source: en: How do social media help change our lives ? second: Mạng xã hội giúp thay đổi cuộc sống của chúng ta như thế nào?	en: How do social media help change our lives ?
source: en: As the development of the technology , social media becomes more and more significant role in the whole world . second: Cùng với sự phát triển của công nghệ, truyền thông xã hội ngày càng đóng vai trò quan trọng trên toàn thế giới.	en: As the development of the technology , social media becomes more and more significant role in the whole world .
source: en: Everyone in the world can not stop using it every day to express their feelings or ideas and a log of other stuff which helps their friends know their lives better . second: Mọi người trên thế giới không thể ngừng sử dụng nó mỗi ngày để bày tỏ cảm xúc hoặc ý tưởng của họ và một bản ghi các công cụ khác giúp bạn bè của họ biết cuộc sống của họ tốt hơn.	en: Everyone in the world can not stop using it every day to express their feelings or ideas and a log of other stuff which helps their friends know their lives better .
source: en: However , it also raised the concerns about whether it brings us more benefits or a human disaster . second: Tuy nhiên, nó cũng làm dấy lên mối lo ngại về việc liệu nó mang lại cho chúng ta nhiều lợi ích hơn hay là một thảm hoạ cho con người.	en: However , it also raised the concerns about whether it brings us more benefits or a human disaster .
source: en: Although it helps to connect us with our friends wherever we are , it at the same time reduces the chance for us to talk to our friends face to face which may affect our interpersonal skills . second: Mặc dù việc kết nối với bạn bè giúp ích cho chúng ta ở bất cứ đâu, nhưng đồng thời cũng giảm thiểu cơ hội nói chuyện trực tiếp với bạn bè, điều có thể ảnh hưởng đến kỹ năng giao tiếp của chúng ta.	en: Although it helps to connect us with our friends wherever we are , it at the same time reduces the chance for us to talk to our friends face to face which may affect our interpersonal skills .
source: en: Thus , whether there are more advantages or disadvantages becomes a tough question for every human being . second: Vì vậy, liệu có nhiều ưu điểm hay nhược điểm hơn sẽ trở thành một câu hỏi khó khăn cho mọi người.	en: Thus , whether there are more advantages or disadvantages becomes a tough question for every human being .
source: en: Many people says they will support the social media since it really helps them to have a closer view about how their friends are going in other parts of the world . second: Nhiều người nói rằng họ sẽ ủng hộ mạng xã hội vì nó thực sự giúp họ có cái nhìn gần hơn về những gì bạn bè của họ đang làm ở những nơi khác trên thế giới.	en: Many people says they will support the social media since it really helps them to have a closer view about how their friends are going in other parts of the world .
source: en: This is especially to people who are overseas . second: Điều này đặc biệt cần thiết đối với những người đang ở nước ngoài.	en: This is especially to people who are overseas .
source: en: To them , social media is the only resource they can approach to know everything happened in their home country and the way they can use to show their lives to their lovers as well . second: Đối với họ, mạng xã hội là nguồn thông tin duy nhất mà họ có thể tiếp cận để biết mọi chuyện đã xảy ra ở quê nhà và cách họ có thể sử dụng để cho người yêu biết về cuộc sống của mình.	en: To them , social media is the only resource they can approach to know everything happened in their home country and the way they can use to show their lives to their lovers as well .
source: en: What 's more , these days social media plays an important role in spreading the information . second: Hơn nữa, ngày nay, truyền thông xã hội đóng vai trò quan trọng trong việc truyền bá thông tin.	en: What 's more , these days social media plays an important role in spreading the information .
source: en: Nowadays , people can just easily put their renting information on their facebook account and wait for the response from others who are from different parts of the world which brings us a huge amount of convenience . second: Ngày nay, mọi người có thể dễ dàng đăng thông tin thuê mượn lên tài khoản facebook và chờ phản hồi từ những người khác đến từ nhiều nơi trên thế giới, điều này mang lại cho chúng ta sự tiện lợi rất lớn.	en: Nowadays , people can just easily put their renting information on their facebook account and wait for the response from others who are from different parts of the world which brings us a huge amount of convenience .
source: en: It is quite significant especially for those young teenagers since they would rather go to these sites to see the news and know what happened in this world than read the newspaper every day . second: Nó khá quan trọng, đặc biệt là đối với thanh thiếu niên vì họ thà đến các trang web này để xem tin tức và biết những gì đã xảy ra trên thế giới hơn là đọc báo mỗi ngày.	en: It is quite significant especially for those young teenagers since they would rather go to these sites to see the news and know what happened in this world than read the newspaper every day .
source: en: However , there are also a great amount of people who against this technology . second: Tuy nhiên, cũng có rất nhiều người phản đối công nghệ này.	en: However , there are also a great amount of people who against this technology .
source: en: They worry a lot about the bad effect on the teenagers who are still developing themselves . second: Họ lo lắng rất nhiều về những ảnh hưởng xấu đến thanh thiếu niên, những người vẫn đang phát triển bản thân.	en: They worry a lot about the bad effect on the teenagers who are still developing themselves .
source: en: They pointed that actually social media reduces the chance for us to talk to people around us face to face . second: Họ chỉ ra rằng thực sự truyền thông xã hội làm giảm cơ hội để chúng ta nói chuyện trực tiếp với những người xung quanh.	en: They pointed that actually social media reduces the chance for us to talk to people around us face to face .
source: en: The more we care about facebook , the less time we will have to spend with our friends . second: Chúng ta càng quan tâm đến Facebook nhiều bao nhiêu thì thời gian dành cho bạn bè càng ít bấy nhiêu.	en: The more we care about facebook , the less time we will have to spend with our friends .
source: en: Nowadays , it is quite common to see on some party , people would more prefer looking at their phones and reading all the posts on facebook if they feel bored . second: Ngày nay, bạn có thể thấy điều này khá phổ biến tại một số bữa tiệc. mọi người thích nhìn vào điện thoại và đọc tất cả các bài viết trên Facebook nếu cảm thấy chán.	en: Nowadays , it is quite common to see on some party , people would more prefer looking at their phones and reading all the posts on facebook if they feel bored .
source: en: It makes people worry since if all the teenagers continue using social media frequently , they will decrease the ability to talk to people . second: Điều này khiến mọi người lo lắng vì nếu tất cả thanh thiếu niên tiếp tục sử dụng mạng xã hội thường xuyên, khả năng trò chuyện với mọi người sẽ giảm.	en: It makes people worry since if all the teenagers continue using social media frequently , they will decrease the ability to talk to people .
source: en: They will feel it becomes difficult for them to find any topics to communicate with other people . second: Họ sẽ cảm thấy khó khăn khi tìm kiếm chủ đề để giao tiếp với người khác.	en: They will feel it becomes difficult for them to find any topics to communicate with other people .
source: en: Personally , I strongly agree that social media brings more disadvantages compared to advantages it gives us . second: Cá nhân tôi, tôi hoàn toàn đồng ý rằng truyền thông xã hội mang lại nhiều bất lợi hơn so với lợi thế mà nó mang lại cho chúng ta.	en: Personally , I strongly agree that social media brings more disadvantages compared to advantages it gives us .
source: en: Although it is really useful when we need to use it to let other people know we really live a good life , it wastes us a lot of time as well . second: Mặc dù nó rất hữu ích khi chúng ta cần phải sử dụng nó để cho người khác biết rằng chúng ta thực sự sống một cuộc sống tốt đẹp, nhưng nó cũng làm lãng phí thời gian của chúng ta.	en: Although it is really useful when we need to use it to let other people know we really live a good life , it wastes us a lot of time as well .
source: en: Think in another way , if we put those time we spend on wandering on those sites , we may already finish one book or do other more meaningful things . second: Hãy nghĩ theo một cách khác: nếu dành thời gian đi lang thang trên những địa điểm đó, có thể chúng ta đã đọc xong một cuốn sách hoặc làm những việc có ý nghĩa hơn.	en: Think in another way , if we put those time we spend on wandering on those sites , we may already finish one book or do other more meaningful things .
source: en: We should keep in mind that there are still ways for us to contact with our family or friends . second: Chúng ta nên nhớ rằng vẫn còn nhiều cách để chúng ta liên lạc với gia đình hoặc bạn bè.	en: We should keep in mind that there are still ways for us to contact with our family or friends .
source: en: Everything will be bad if we do n't know how to use them wisely no matter whether it is really good or not . second: Mọi thứ sẽ trở nên tồi tệ nếu chúng ta không biết cách sử dụng chúng một cách khôn ngoan, cho dù nó có thực sự tốt hay không.	en: Everything will be bad if we do n't know how to use them wisely no matter whether it is really good or not .
source: en: As a result , it is important for people to know that we need to be cautious about the time we spend on these social media . second: Do đó, điều quan trọng là mọi người cần biết rằng chúng ta cần phải thận trọng về thời gian chúng ta dành cho các phương tiện truyền thông xã hội này.	en: As a result , it is important for people to know that we need to be cautious about the time we spend on these social media .
source: en: As stated above , I strongly believe that if we can use social media wisely rather than abusing it , we will all live a better life . second: Như đã nói ở trên, tôi tin tưởng mạnh mẽ rằng nếu chúng ta có thể sử dụng mạng xã hội một cách khôn ngoan hơn là lạm dụng nó, tất cả chúng ta sẽ sống một cuộc sống tốt đẹp hơn.	en: As stated above , I strongly believe that if we can use social media wisely rather than abusing it , we will all live a better life .
source: en: The advantage and disadvantage of social media second: Lợi thế và bất lợi của truyền thông xã hội	en: The advantage and disadvantage of social media
source: en: Nowadays , as the technology is becoming increasingly advanced , more and more social media sites are showing up in our daily life . second: Ngày nay, khi công nghệ ngày càng tiên tiến, ngày càng có nhiều trang mạng xã hội xuất hiện trong cuộc sống hàng ngày của chúng ta.	en: Nowadays , as the technology is becoming increasingly advanced , more and more social media sites are showing up in our daily life .
source: en: You can see people playing Facebook , Twitter through their smart phones or ipad on buses or on trains . second: Bạn có thể thấy mọi người chơi Facebook, Twitter qua điện thoại thông minh hoặc ipad trên xe buýt hoặc trên tàu hoả.	en: You can see people playing Facebook , Twitter through their smart phones or ipad on buses or on trains .
source: en: Some may say that the appearance for these modern media will reduce the chance for people to communicate face to face . second: Một số người có thể nói rằng sự xuất hiện của các phương tiện truyền thông hiện đại này sẽ làm giảm cơ hội cho mọi người giao tiếp trực tiếp.	en: Some may say that the appearance for these modern media will reduce the chance for people to communicate face to face .
source: en: This essay will illustrate the pros and cons of using social media in modern society . second: Bài viết này sẽ minh hoạ cho những ưu và nhược điểm của việc sử dụng phương tiện truyền thông xã hội trong xã hội hiện đại.	en: This essay will illustrate the pros and cons of using social media in modern society .
source: en: Firstly of all , social media can make it more convenient for people to make friends and contact each other . second: Trước hết, mạng xã hội có thể giúp mọi người kết bạn và liên lạc với nhau dễ dàng hơn.	en: Firstly of all , social media can make it more convenient for people to make friends and contact each other .
source: en: Years ago when these modern products have not been popular , the way for people to communicate or contact people far way are still restricted in making phone calls , sending emails or writing letters . second: Nhiều năm trước, khi những sản phẩm hiện đại này chưa phổ biến, cách thức để mọi người giao tiếp hoặc liên lạc với mọi người vẫn bị hạn chế trong việc gọi điện thoại, gửi email hoặc viết thư.	en: Years ago when these modern products have not been popular , the way for people to communicate or contact people far way are still restricted in making phone calls , sending emails or writing letters .
source: en: Some will take long time and some are not efficient enough for people to get their response . second: Một số sẽ mất nhiều thời gian và một số không đủ hiệu quả để mọi người có thể nhận được phản hồi.	en: Some will take long time and some are not efficient enough for people to get their response .
source: en: However , social media solves these problems well . second: Tuy nhiên, mạng xã hội giải quyết vấn đề này rất tốt.	en: However , social media solves these problems well .
source: en: People can contact their friends on the internet and get their reply very fast . second: Mọi người có thể liên hệ với bạn bè trên internet và nhận được phản hồi rất nhanh.	en: People can contact their friends on the internet and get their reply very fast .
source: en: The communication is also not limited in words . second: Giao tiếp cũng không bị giới hạn bởi từ ngữ.	en: The communication is also not limited in words .
source: en: People can express themselves through pictures or emotions . second: Con người có thể thể hiện bản thân qua hình ảnh hoặc cảm xúc.	en: People can express themselves through pictures or emotions .
source: en: People can also get to know their friends ' state and mood by looking at their posts on line . second: Mọi người cũng có thể tìm hiểu trạng thái và tâm trạng của bạn bè bằng cách xem bài viết của họ trên mạng.	en: People can also get to know their friends ' state and mood by looking at their posts on line .
source: en: Moreover , people can be aware of what is going on in social situation and see the comments online and share their opinions on these websites . second: Hơn nữa, mọi người có thể nhận thức được những gì đang diễn ra trong tình huống xã hội, xem các bình luận trực tuyến và chia sẻ ý kiến của họ trên các trang web này.	en: Moreover , people can be aware of what is going on in social situation and see the comments online and share their opinions on these websites .
source: en: These social media makes people 's life much more colorful and provide a lot of fun . second: Những phương tiện truyền thông xã hội này khiến cuộc sống của mọi người trở nên đa dạng hơn và mang lại nhiều niềm vui.	en: These social media makes people 's life much more colorful and provide a lot of fun .
source: en: However , social media may do some harm to people 's life . second: Tuy nhiên, mạng xã hội có thể gây hại cho cuộc sống của mọi người.	en: However , social media may do some harm to people 's life .
source: en: It will make people spend more time on chatting on the internet rather than communicate face to face such that the interpersonal skill will be badly affected . second: Điều này sẽ khiến mọi người dành nhiều thời gian tán gẫu trên internet hơn là giao tiếp trực tiếp, khiến kỹ năng giao tiếp bị ảnh hưởng xấu.	en: It will make people spend more time on chatting on the internet rather than communicate face to face such that the interpersonal skill will be badly affected .
source: en: Some people spend a lot of time in it and forget their real life . second: Một số người dành nhiều thời gian ở đó và quên mất cuộc sống thực của họ.	en: Some people spend a lot of time in it and forget their real life .
source: en: Actually , I have seen some people are very funny and interesting when I am chatting with them online . second: Thực ra, tôi đã thấy một số người rất hài hước và thú vị khi tôi trò chuyện với họ trên mạng.	en: Actually , I have seen some people are very funny and interesting when I am chatting with them online .
source: en: However , they behave quite boring when I talk to them in real life . second: Tuy nhiên, họ cư xử khá nhàm chán khi tôi nói chuyện với họ ngoài đời.	en: However , they behave quite boring when I talk to them in real life .
source: en: Teenagers are developing their interpersonal skills and social skills when they are growing up . second: Thanh thiếu niên sẽ phát triển kỹ năng giao tiếp và kỹ năng xã hội khi lớn lên.	en: Teenagers are developing their interpersonal skills and social skills when they are growing up .
source: en: If they spend too much time on these social media , it may cause some problems to their mental development . second: Nếu họ dành quá nhiều thời gian cho các phương tiện truyền thông xã hội này, điều đó có thể gây ra một số vấn đề cho sự phát triển tinh thần của họ.	en: If they spend too much time on these social media , it may cause some problems to their mental development .
source: en: They may feel uncomfortable when they communicate with people face to face . second: Họ có thể cảm thấy không thoải mái khi giao tiếp trực tiếp với mọi người.	en: They may feel uncomfortable when they communicate with people face to face .
source: en: Some may share fewer and fewer time with their family and not knowing how to express themselves . second: Một số người có thể ngày càng ít chia sẻ thời gian với gia đình và không biết cách thể hiện bản thân.	en: Some may share fewer and fewer time with their family and not knowing how to express themselves .
source: en: Moreover , some wrong values on the websites will affect teenagers and confuse them . second: Hơn nữa, một số giá trị sai lầm trên các trang web sẽ ảnh hưởng đến thanh thiếu niên và khiến họ bối rối.	en: Moreover , some wrong values on the websites will affect teenagers and confuse them .
source: en: Some may even do something wrong . second: Một số người thậm chí có thể làm điều gì đó sai trái.	en: Some may even do something wrong .
source: en: In conclusion , the showing up of social media sites is a double edged sword . second: Tóm lại, việc xuất hiện trên các trang mạng xã hội là con dao hai lưỡi.	en: In conclusion , the showing up of social media sites is a double edged sword .
source: en: It can make our life simpler . second: Nó có thể làm cho cuộc sống của chúng ta đơn giản hơn.	en: It can make our life simpler .
source: en: People can promote their friendship and relationship through these social media . second: Mọi người có thể quảng bá tình bạn và mối quan hệ của mình thông qua các phương tiện truyền thông xã hội này.	en: People can promote their friendship and relationship through these social media .
source: en: Whereas , it can also make people forget to communicate to their family and friends in the real life and affect negatively to their interpersonal skills . second: Trong khi đó, nó cũng có thể khiến người ta quên giao tiếp với gia đình và bạn bè ngoài đời và ảnh hưởng tiêu cực đến kỹ năng giao tiếp của họ.	en: Whereas , it can also make people forget to communicate to their family and friends in the real life and affect negatively to their interpersonal skills .
source: en: But overall , the advantages far outweigh its disadvantage . second: Nhưng nhìn chung, những lợi thế vượt xa bất lợi của nó.	en: But overall , the advantages far outweigh its disadvantage .
source: en: So we need to make best use of these social media and make it a fun way of adding some excitement when life is boring . second: Vì vậy, chúng ta cần tận dụng tối đa các phương tiện truyền thông xã hội này và biến nó thành một cách thú vị để thêm một số hứng thú khi cuộc sống nhàm chán.	en: So we need to make best use of these social media and make it a fun way of adding some excitement when life is boring .
source: en: And try to bypass the shortcomings . second: Và cố gắng bỏ qua những thiếu sót.	en: And try to bypass the shortcomings .
source: en: Remember to send greetings to our friends and family frequently . second: Nhớ gửi lời chào đến bạn bè và gia đình của chúng ta thường xuyên.	en: Remember to send greetings to our friends and family frequently .
source: en: Nowadays , with the advancement of technology , it is easy to communicate wherever you are . second: Ngày nay, với sự tiến bộ của công nghệ, bạn có thể dễ dàng giao tiếp ở bất cứ nơi nào.	en: Nowadays , with the advancement of technology , it is easy to communicate wherever you are .
source: en: The appearance of social media sites truly connects people closely . second: Sự xuất hiện của các trang mạng xã hội thực sự kết nối mọi người chặt chẽ.	en: The appearance of social media sites truly connects people closely .
source: en: People can know their friends ' recently looks and interesting things happens on that people just by checking their facebook or other social media sites . second: Mọi người có thể biết ngoại hình gần đây của bạn bè và những điều thú vị xảy ra trên người đó chỉ bằng cách kiểm tra facebook hoặc các trang mạng xã hội khác.	en: People can know their friends ' recently looks and interesting things happens on that people just by checking their facebook or other social media sites .
source: en: We can not deny that the social media sites truly make the old friends do not lose the information and the chances to communicate with you even you are in a different country . second: Chúng tôi không thể phủ nhận rằng các trang mạng xã hội thực sự làm cho những người bạn cũ không mất thông tin và cơ hội để giao tiếp với bạn ngay cả khi bạn ở một quốc gia khác.	en: We can not deny that the social media sites truly make the old friends do not lose the information and the chances to communicate with you even you are in a different country .
source: en: However , the social media sites truly reduce the communication in face-to-face which truly affects interpersonal skills . second: Tuy nhiên, các trang mạng xã hội thực sự làm giảm khả năng giao tiếp trực tiếp, điều này thực sự ảnh hưởng đến kỹ năng giao tiếp.	en: However , the social media sites truly reduce the communication in face-to-face which truly affects interpersonal skills .
source: en: There are two advantages and two disadvantages of using the social media in people 's daily life . second: Có hai ưu điểm và nhược điểm khi sử dụng mạng xã hội trong cuộc sống hàng ngày của mọi người.	en: There are two advantages and two disadvantages of using the social media in people 's daily life .
source: en: Firstly , the social media sites can connect people with their friends and parents closely . second: Đầu tiên, các trang mạng xã hội có thể kết nối mọi người với bạn bè và cha mẹ của họ một cách chặt chẽ.	en: Firstly , the social media sites can connect people with their friends and parents closely .
source: en: By typing the words and showing the pictures , people can express their emotions that they are too shy to express . second: Bằng cách đánh máy và cho người khác xem ảnh, họ có thể bộc lộ cảm xúc của mình mà họ quá nhút nhát để bộc lộ.	en: By typing the words and showing the pictures , people can express their emotions that they are too shy to express .
source: en: For example , on mother 's day , people are shy to say " I love you " to their mothers so they can type it on his or her mother 's facebook page . second: Ví dụ, vào ngày của mẹ, mọi người thường ngại nói " Anh yêu em " với mẹ để họ có thể gõ câu nói đó trên trang facebook của mẹ.	en: For example , on mother 's day , people are shy to say " I love you " to their mothers so they can type it on his or her mother 's facebook page .
